"","sp","lon","lat","sol","PNZ1"
"1","Zea mays",-96.87067,19.938631,8,4727
"2","Zea mays",-99.634229,21.83299,9,3072
"3","Zea mays",-99.653771,22.023366,9,2258
"4","Zea mays",-89.732539,20.485433,8,4256
"5","Zea mays",-97.382255,20.969048,9,2822
"6","Zea mays",-57.309104,-23.267981,9,2902
"7","Zea mays",-62.46666667,8.433333333,9,3792
"8","Zea mays",-74.91666667,3.85,8,1741
"9","Zea mays",-88.05,19.58333333,8,4520
"10","Zea mays",-97.382222,20.43027778,9,3922
"11","Zea mays",-92.564373,16.332904,8,4043
"12","Zea mays",-92.564373,16.332904,8,4043
"13","Zea mays",-98.38333333,21.51666667,9,3460
"14","Zea mays",-99.537659,17.167363,8,2933
"15","Zea mays",-98.746577,21.296297,9,3820
"16","Zea mays",-92.81666667,16.56666667,8,3168
"17","Zea mays",-93,16.71666667,8,3168
"18","Zea mays",-93.26666667,16.25,8,3616
"19","Zea mays",-93.26666667,16.2,8,3616
"20","Zea mays",-92.81666667,16.56666667,8,3168
"21","Zea mays",-62.7,-35.96666667,12,1390
"22","Zea mays",-59.85,-27.01666667,9,2273
"23","Zea mays",-93.71666667,16.7,8,3518
"24","Zea mays",-97.63333333,21.06666667,9,3922
"25","Zea mays",-93.71666667,16.7,8,3518
"26","Zea mays",-88.05,19.58333333,8,4520
"27","Zea mays",-101.728267,18.317643,11,3455
"28","Zea mays",-96.96666667,19.38333333,8,7042
"29","Zea mays",-98.43333333,22.81666667,9,3460
"30","Zea mays",-93.21666667,17.1,9,4182
"31","Zea mays",-101.799996,17.971798,11,3455
"32","Zea mays",-54.13,-26.63,1,5304
"33","Zea mays",-89.82814,19.744273,8,4256
"34","Zea mays",-58.240208,-26.142484,9,2706
"35","Zea mays",-58.75,-25.3,9,2706
"36","Zea mays",-61.333411,-24.164012,8,1430
"37","Zea mays",-92.08,16.9,6,3082
"38","Zea mays",-92.08,16.9,6,3082
"39","Zea mays",-98.277964,21.038899,9,3820
"40","Zea mays",-98.222282,21.10534,9,3820
"41","Zea mays",-98.222282,21.10534,9,3820
"42","Zea mays",-90.102679,20.601679,8,4520
"43","Zea mays",-98.296549,21.029685,9,3820
"44","Zea mays",-98.296549,21.029685,9,3820
"45","Zea mays",-90.193023,16.681491,9,4212
"46","Zea mays",-102.8,20.55,9,3932
"47","Zea mays",-100.21527,22.031961,9,1939
"48","Zea mays",-99.816363,22.05427,8,2876
"49","Zea mays",-100.9672228,25.552339,8,2876
"50","Zea mays",-99.45,18.75,9,2546
"51","Zea mays",-99.3,18.68,9,2546
"52","Zea mays",-105.2977778,27.15888889,8,1800
"53","Zea mays",-83.665901,9.358024,5,2884
"54","Zea mays",-82.907759,8.820336,2,3961
"55","Zea mays",-83.402533,9.21809,5,2884
"56","Zea mays",-82.776594,8.884242,5,4742
"57","Zea mays",-87.105301,14.100414,9,3191
"58","Zea mays",-90.859965,15.344145,8,3333
"59","Zea mays",-97.28339,16.233634,9,2875
"60","Zea mays",-97.28339,16.233634,9,2875
"61","Zea mays",-104.088629,21.696608,9,2827
"62","Zea mays",-91.4,14.616667,2,6326
"63","Zea mays",-72.008076,7.917181,9,3433
"64","Zea mays",-92.138837,14.663195,8,3763
"65","Zea mays",-111.113435,30.544226,8,1956
"66","Zea mays",-102.7166667,19.96666667,9,2827
"67","Zea mays",-97.03333333,19.08333333,11,3579
"68","Zea mays",-96.282141,18.390306,5,2713
"69","Zea mays",-62.994159,-17.82886,12,1890
"70","Zea mays",-62.994159,-17.82886,12,1890
"71","Zea mays",-99,19.01666667,2,5391
"72","Zea mays",-92.1,15.7,8,3518
"73","Zea mays",-90.61666667,19.78333333,NA,4240
"74","Zea mays",-93.76666667,16.08333333,11,2696
"75","Zea mays",-93.38333333,16.76666667,9,4182
"76","Zea mays",-104.5333333,25.2,8,1807
"77","Zea mays",-92.251361,15.37229,9,5103
"78","Zea mays",-97.020133,19.017868,11,7042
"79","Zea mays",-103.15,18.78333,8,3717
"80","Zea mays",-38.18333333,-10.7,11,991
"81","Zea mays",-91.642471,18.04166,9,2725
"82","Zea mays",-97.03333333,19.08333333,11,3579
"83","Zea mays",-98.98333333,18.76666667,2,5391
"84","Zea mays",-98.98333333,18.76666667,2,5391
"85","Zea mays",-92.1,15.7,8,3518
"86","Zea mays",-99.385656,17.576119,11,3455
"87","Zea mays",-97.1,19.11666667,2,3579
"88","Zea mays",-92.359949,16.352808,8,4043
"89","Zea mays",-92.711648,16.602202,9,3168
"90","Zea mays",-92.68035,16.538454,8,4043
"91","Zea mays",-90.233333,19.766667,8,4256
"92","Zea mays",-92.68035,16.538454,8,4043
"93","Zea mays",-92.711648,16.602202,9,3168
"94","Zea mays",-92.711648,16.602202,9,3168
"95","Zea mays",-92.73333333,15.86666667,8,3616
"96","Zea mays",-93.26666667,16.8,9,4182
"97","Zea mays",-91.759457,18.658723,NA,2792
