"id","general_identifier","number","name","bank_number","breeders_code","breeders_name","subtaxa_id","taxonomy_id","institution_id","breeder_id","plant_passport","donor_code","donor_name","donor_number","acqdate","collnumb","colldate","collcode","collname","collmissid","othernumb","duplsite","duplinstname","mlsstatus_id","puid","biologicalstatus_id","collsrc_id","location_id","created_on","updated_on","locations_id","locations_state","locations_region","locations_site_name","locations_elevation","locations_latitude","locations_longitude","countries_id","countries_country_code2","countries_country_code3","countries_country_name","subtaxa_id.1","subtaxa_subtaxa_author","subtaxa_taxonomic_identifier","taxonomies_id","taxonomies_genus","taxonomies_species","taxonomies_species_author","taxonomies_crop_name","taxonomies_ploidy","synonyms_synonym"
1,11,NA,11,"CIMMYTMA-BANK-000001",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICHGP1","1960-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-11-24 15:10:26.0",NA,NA,NA,"","",NA,NA,NA,NA,"","","",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,""
2,24,NA,24,"CIMMYTMA-BANK-000002",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICHGP2","1960-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-11-24 15:10:26.0",NA,NA,NA,"","",NA,NA,NA,NA,"","","",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,""
3,33,NA,33,"CIMMYTMA-BANK-000003",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICH129","1946-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9264,"2014-11-24 15:10:26.0",NA,9264,NA,"","TEPALCATEPEC",364,19.18333333,-102.8333333,484,"MX","MEX","MEXICO",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,""
4,34,NA,34,"CIMMYTMA-BANK-000004",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICHGP4","1960-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-11-24 15:10:26.0",NA,NA,NA,"","",NA,NA,NA,NA,"","","",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,"MICH,GP4"
5,41,NA,41,"CIMMYTMA-BANK-000005",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICH200","1952-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9388,"2014-11-24 15:10:26.0",NA,9388,NA,"","TINGANBATO",1919,19.5,-101.8666667,484,"MX","MEX","MEXICO",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,""
6,52,NA,52,"CIMMYTMA-BANK-000006",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICH168","1952-02-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2992,"2014-11-24 15:10:26.0",NA,2992,NA,"COAHUAYANA","EL RANCHITO",23,18.6781,-103.661841,484,"MX","MEX","MEXICO",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,""
7,60,NA,60,"CIMMYTMA-BANK-000007",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICHGP7","1960-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-11-24 15:10:27.0",NA,NA,NA,"","",NA,NA,NA,NA,"","","",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,""
8,65,NA,65,"CIMMYTMA-BANK-000008",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICHGP8","1960-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-11-24 15:10:27.0",NA,NA,NA,"","",NA,NA,NA,NA,"","","",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,""
9,67,NA,67,"CIMMYTMA-BANK-000011",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICHGP10","1960-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-11-24 15:10:27.0",NA,NA,NA,"","",NA,NA,NA,NA,"","","",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,""
10,83,NA,83,"CIMMYTMA-BANK-000013",NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,"MICHGP12","1960-01-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014-11-24 15:10:27.0",NA,NA,NA,"","",NA,NA,NA,NA,"","","",NA,NA,NA,2,"Zea","mays subsp. mays",NA,"Maize",2,""
