"","trt","plot","gt","leaf","dup","n","top_label","lside_label"
"1","-",1,"_B73",1,"L",1,"L01","-P1_B73_L1L"
"2","-",1,"_B73",1,"R",1,"R01","-P1_B73_L1R"
"3","-",1,"_B73",2,"L",2,"L02","-P1_B73_L2L"
"4","-",1,"_B73",2,"R",2,"R02","-P1_B73_L2R"
"5","-",1,"_B73",3,"L",3,"L03","-P1_B73_L3L"
"6","-",1,"_B73",3,"R",3,"R03","-P1_B73_L3R"
"7","-",1,"_B73",4,"L",4,"L04","-P1_B73_L4L"
"8","-",1,"_B73",4,"R",4,"R04","-P1_B73_L4R"
"9","-",1,"MICH",1,"L",5,"L05","-P1MICH_L1L"
"10","-",1,"MICH",1,"R",5,"R05","-P1MICH_L1R"
"11","-",1,"MICH",2,"L",6,"L06","-P1MICH_L2L"
"12","-",1,"MICH",2,"R",6,"R06","-P1MICH_L2R"
"13","-",1,"MICH",3,"L",7,"L07","-P1MICH_L3L"
"14","-",1,"MICH",3,"R",7,"R07","-P1MICH_L3R"
"15","-",1,"MICH",4,"L",8,"L08","-P1MICH_L4L"
"16","-",1,"MICH",4,"R",8,"R08","-P1MICH_L4R"
"17","-",2,"_B73",1,"L",9,"L09","-P2_B73_L1L"
"18","-",2,"_B73",1,"R",9,"R09","-P2_B73_L1R"
"19","-",2,"_B73",2,"L",10,"L10","-P2_B73_L2L"
"20","-",2,"_B73",2,"R",10,"R10","-P2_B73_L2R"
"21","-",2,"_B73",3,"L",11,"L11","-P2_B73_L3L"
"22","-",2,"_B73",3,"R",11,"R11","-P2_B73_L3R"
"23","-",2,"_B73",4,"L",12,"L12","-P2_B73_L4L"
"24","-",2,"_B73",4,"R",12,"R12","-P2_B73_L4R"
"25","-",2,"MICH",1,"L",13,"L13","-P2MICH_L1L"
"26","-",2,"MICH",1,"R",13,"R13","-P2MICH_L1R"
"27","-",2,"MICH",2,"L",14,"L14","-P2MICH_L2L"
"28","-",2,"MICH",2,"R",14,"R14","-P2MICH_L2R"
"29","-",2,"MICH",3,"L",15,"L15","-P2MICH_L3L"
"30","-",2,"MICH",3,"R",15,"R15","-P2MICH_L3R"
"31","-",2,"MICH",4,"L",16,"L16","-P2MICH_L4L"
"32","-",2,"MICH",4,"R",16,"R16","-P2MICH_L4R"
